ID,PTRF_exo_counts,C1_1,C1_2,C1_3,GFP1,GFP2,GFP3,GFP_exo_counts
hsa-miR-147b,0,25,30,0,26,33,6,8
hsa-miR-20b-5p,0,4,0,2,19,16,6,0
hsa-miR-215-5p,1,65,36,3,42,59,8,13
hsa-miR-363-3p,1,8,3,2,113,92,7,5
hsa-miR-4664-3p,5,21,38,0,25,41,2,58
hsa-miR-125b-2-3p,5,27,18,6,36,53,10,16
hsa-miR-651-5p,5,59,200,0,32,78,16,4
hsa-miR-582-3p,6,16,35,2,21,14,1,90
hsa-miR-181a-2-3p,6,39,27,0,39,31,7,20
hsa-miR-500a-3p,7,66,77,12,61,102,19,22
hsa-miR-671-5p,7,7,4,0,13,6,0,0
hsa-miR-450b-5p,8,117,224,6,156,441,35,23
hsa-miR-196a-5p,8,156,201,2,188,243,27,0
hsa-miR-149-5p,8,86,53,3,52,20,4,0
hsa-miR-19a-3p,9,54,70,6,163,300,29,0
hsa-miR-374a-3p,9,66,224,6,100,194,35,9
hsa-miR-502-3p,10,85,70,10,98,122,17,0
hsa-miR-542-3p,11,99,162,5,137,280,26,58
hsa-miR-128-1-3p,12,2457,2452,116,1432,2852,329,0
hsa-miR-362-5p,12,21,30,5,30,42,8,1
hsa-miR-10a-3p,12,84,43,4,98,140,13,1
hsa-miR-503-5p,14,200,228,4,267,317,23,41
hsa-miR-32-5p,14,125,94,9,222,150,25,1
hsa-miR-148a-5p,14,99,65,6,143,113,29,32
hsa-miR-484-5p,15,94,59,13,67,83,14,1
hsa-miR-152-3p,16,56,63,3,115,89,28,50
hsa-miR-146a-5p,17,91,288,3,199,993,194,56
hsa-miR-589-5p,17,47,69,3,51,87,9,45
hsa-let-7c-5p,17,224,437,11,230,426,90,2
hsa-miR-374a-5p,17,58,87,2,103,78,6,2
hsa-miR-877-5p,17,15,10,1,17,13,2,3
hsa-miR-339-5p,18,107,74,2,107,56,6,3
hsa-miR-1269a,19,29,40,1,32,36,5,44
hsa-miR-15b-5p,20,69,43,5,132,61,8,2
hsa-miR-6087-3p,21,19,12,0,24,14,4,51
hsa-miR-16-2-3p,22,374,418,15,626,973,95,1
hsa-miR-421-3p,22,88,82,6,143,148,25,4
hsa-miR-125a-3p,24,38,30,0,30,49,11,2
hsa-miR-3615-3p,27,339,345,5,528,252,95,68
hsa-miR-340-5p,28,402,747,66,330,1173,141,6
hsa-miR-769-5p,29,183,185,32,131,182,29,64
hsa-miR-1180-3p,33,131,206,6,101,179,37,5
hsa-miR-629-5p,35,200,132,18,58,207,20,7
hsa-miR-181d-5p,35,148,243,4,218,432,83,10
hsa-miR-30b-5p,39,180,203,10,258,226,19,9
hsa-miR-574-3p,40,72,50,1,45,25,2,81
hsa-miR-99a-5p,41,1225,1390,71,1521,1054,283,12
hsa-miR-361-5p,43,136,98,1,122,137,12,9
hsa-miR-92b-3p,47,232,224,2,217,320,45,8
hsa-miR-140-3p,53,133,119,18,81,146,20,229
hsa-let-7d-3p,54,151,154,2,145,286,41,18
hsa-miR-99b-3p,64,370,518,8,498,609,89,210
hsa-miR-1307-3p,64,310,387,16,542,378,83,23
hsa-miR-31-5p,67,306,326,7,487,345,35,11
hsa-miR-185-5p,68,163,131,14,208,156,19,3
hsa-miR-196b-5p,76,167,161,7,162,172,30,19
hsa-miR-27a-5p,78,86,65,0,182,54,10,237
hsa-miR-221-5p,78,93,201,5,102,176,51,96
hsa-miR-28-3p,91,343,447,10,308,428,74,329
hsa-miR-186-5p,104,670,1071,27,642,1386,342,34
hsa-miR-106b-3p,115,293,429,15,420,335,38,290
hsa-miR-125a-5p,138,618,666,27,1458,569,264,17
hsa-miR-30a-3p,140,397,418,14,495,749,95,1703
hsa-miR-98-5p,140,520,1310,2,1710,2367,232,7
hsa-miR-532-5p,164,1111,1765,107,1048,2573,313,533
hsa-miR-30e-3p,165,313,620,10,428,442,93,634
hsa-miR-200a-5p,166,516,604,2,872,551,138,2947
hsa-miR-375-3p,168,1663,2578,5,851,1276,608,64
hsa-miR-17-5p,177,522,456,101,1391,802,125,50
hsa-miR-429-3p,193,2500,3282,36,4351,8000,1015,50
hsa-miR-26b-5p,199,1542,1541,36,1189,1169,185,37
hsa-miR-148b-3p,227,1554,2395,99,1665,3668,600,373
hsa-let-7d-5p,234,446,462,4,697,772,97,11
hsa-miR-30e-5p,254,1454,1588,140,1709,2977,523,28
hsa-miR-93-5p,256,851,950,107,1472,1159,155,81
hsa-miR-10b-5p,300,2027,3390,366,4409,5326,2103,889
hsa-miR-22-3p,373,5205,4541,35,5004,7242,1628,63
hsa-miR-25-3p,381,1753,2311,206,2116,2214,497,750
hsa-miR-27a-3p,448,17217,8971,34,18691,14732,2064,88
hsa-let-7e-5p,461,436,523,15,659,608,141,1
hsa-miR-320a-3p,539,1639,2059,86,2455,2700,595,60
hsa-miR-183-5p,584,1912,2351,49,2663,1827,401,1271
hsa-miR-191-5p,593,3133,3724,59,5235,3092,529,113
hsa-miR-151a-3p,814,9517,15603,143,22376,9055,1889,1862
hsa-miR-200a-3p,825,5571,8297,52,7541,23228,5319,112
hsa-miR-30a-5p,905,6759,6885,562,13730,17659,2467,1371
hsa-let-7b-5p,1066,3820,5187,14,3204,6643,1009,100
hsa-miR-148a-3p,1340,15585,24884,1164,31224,75788,20388,80996
hsa-miR-182-5p,1495,2072,3307,74,4817,2127,492,2663
hsa-miR-205-5p,1627,5773,4835,29,10000,6079,1034,268
hsa-miR-222-3p,1648,1966,2922,28,1887,2366,345,304
hsa-miR-221-3p,1935,4341,5173,46,4230,5781,841,152
hsa-let-7g-5p,2393,6956,6368,56,10261,8987,1227,997
hsa-let-7i-5p,2480,5413,9884,14,7879,10232,1588,4362
hsa-miR-200b-3p,3047,4834,6830,40,11384,8257,1779,1193
