,rowMeans(rawdata[1:3])
hsa-let-7b-5p,3357.666667
hsa-let-7d-3p,119.6666667
hsa-let-7d-5p,380.6666667
hsa-let-7e-5p,473.3333333
hsa-let-7g-5p,5239
hsa-let-7i-5p,5925.666667
hsa-miR-106b-3p,279
hsa-miR-10a-3p,46.33333333
hsa-miR-10b-5p,1905.666667
hsa-miR-125a-3p,30.66666667
hsa-miR-125a-5p,474
hsa-miR-125b-2-3p,16.66666667
hsa-miR-1307-3p,253.6666667
hsa-miR-140-3p,101.6666667
hsa-miR-146a-5p,132
hsa-miR-148a-3p,13936.33333
hsa-miR-148a-5p,59.33333333
hsa-miR-148b-3p,1392
hsa-miR-149-5p,49
hsa-miR-151a-3p,8644.666667
hsa-miR-15b-5p,44
hsa-miR-16-2-3p,271.3333333
hsa-miR-17-5p,385
hsa-miR-181a-2-3p,24
hsa-miR-182-5p,2291.333333
hsa-miR-183-5p,1615.666667
hsa-miR-185-5p,120.6666667
hsa-miR-186-5p,615
hsa-miR-191-5p,2483.333333
hsa-miR-196b-5p,134.6666667
hsa-miR-19a-3p,44.33333333
hsa-miR-200a-3p,4897.666667
hsa-miR-200a-5p,428.6666667
hsa-miR-200b-3p,4903.666667
hsa-miR-205-5p,4078.333333
hsa-miR-20b-5p,1.333333333
hsa-miR-22-3p,3373
hsa-miR-221-3p,3816.333333
hsa-miR-221-5p,124
hsa-miR-222-3p,2178.666667
hsa-miR-25-3p,1481.666667
hsa-miR-26b-5p,1094
hsa-miR-27a-3p,8878.666667
hsa-miR-27a-5p,76.33333333
hsa-miR-28-3p,293.6666667
hsa-miR-30a-3p,318.3333333
hsa-miR-30a-5p,4849.666667
hsa-miR-30b-5p,140.6666667
hsa-miR-30e-3p,366
hsa-miR-30e-5p,1098.666667
hsa-miR-31-5p,233
hsa-miR-32-5p,77.66666667
hsa-miR-339-5p,66.33333333
hsa-miR-340-5p,392.3333333
hsa-miR-361-5p,92.33333333
hsa-miR-362-5p,21
hsa-miR-363-3p,4
hsa-miR-374a-3p,99.66666667
hsa-miR-374a-5p,54
hsa-miR-450b-5p,116.3333333
hsa-miR-4664-3p,21.33333333
hsa-miR-500a-3p,50
hsa-miR-502-3p,55
hsa-miR-503-5p,147.3333333
hsa-miR-532-5p,1013.333333
hsa-miR-542-3p,90.66666667
hsa-miR-574-3p,54
hsa-miR-582-3p,19
hsa-miR-589-5p,44.33333333
hsa-miR-629-5p,122.3333333
hsa-miR-671-5p,6
hsa-miR-769-5p,132.3333333
hsa-miR-877-5p,14
hsa-miR-92b-3p,167.6666667
hsa-miR-93-5p,685.6666667
hsa-miR-98-5p,656.6666667
hsa-miR-99a-5p,885.3333333
hsa-miR-99b-3p,317.3333333
