"","rowMeans(dataPellet[1:3])"
"hsa-let-7b-5p",4593
"hsa-let-7d-3p",171
"hsa-let-7d-5p",926.666666666667
"hsa-let-7e-5p",1871
"hsa-let-7g-5p",13311.6666666667
"hsa-let-7i-5p",9101
"hsa-miR-106b-3p",289.333333333333
"hsa-miR-10a-3p",79
"hsa-miR-10b-5p",2779
"hsa-miR-125a-3p",18
"hsa-miR-125a-5p",2812.33333333333
"hsa-miR-125b-2-3p",23
"hsa-miR-1307-3p",665.333333333333
"hsa-miR-140-3p",91.6666666666667
"hsa-miR-146a-5p",22.3333333333333
"hsa-miR-148a-3p",17830
"hsa-miR-148a-5p",165.666666666667
"hsa-miR-148b-3p",2865.33333333333
"hsa-miR-149-5p",99
"hsa-miR-151a-3p",11048
"hsa-miR-15b-5p",192.666666666667
"hsa-miR-16-2-3p",637.333333333333
"hsa-miR-17-5p",955
"hsa-miR-181a-2-3p",59.3333333333333
"hsa-miR-182-5p",4289
"hsa-miR-183-5p",3443.33333333333
"hsa-miR-185-5p",235
"hsa-miR-186-5p",581.666666666667
"hsa-miR-191-5p",5664.33333333333
"hsa-miR-196b-5p",187.666666666667
"hsa-miR-19a-3p",198.333333333333
"hsa-miR-200a-3p",12284.3333333333
"hsa-miR-200a-5p",883
"hsa-miR-200b-3p",18023
"hsa-miR-205-5p",11133.6666666667
"hsa-miR-20b-5p",9.66666666666667
"hsa-miR-22-3p",6339.66666666667
"hsa-miR-221-3p",8015
"hsa-miR-221-5p",650
"hsa-miR-222-3p",6935.66666666667
"hsa-miR-25-3p",1921.33333333333
"hsa-miR-26b-5p",1924.33333333333
"hsa-miR-27a-3p",10751
"hsa-miR-27a-5p",164
"hsa-miR-28-3p",241.666666666667
"hsa-miR-30a-3p",282
"hsa-miR-30a-5p",12377.6666666667
"hsa-miR-30b-5p",268
"hsa-miR-30e-3p",301.666666666667
"hsa-miR-30e-5p",4283.33333333333
"hsa-miR-31-5p",864
"hsa-miR-32-5p",222
"hsa-miR-339-5p",159.333333333333
"hsa-miR-340-5p",878.333333333333
"hsa-miR-361-5p",113
"hsa-miR-362-5p",74.6666666666667
"hsa-miR-363-3p",4
"hsa-miR-374a-3p",125
"hsa-miR-374a-5p",92
"hsa-miR-450b-5p",162
"hsa-miR-4664-3p",20.6666666666667
"hsa-miR-500a-3p",77.3333333333333
"hsa-miR-502-3p",44.6666666666667
"hsa-miR-503-5p",238.666666666667
"hsa-miR-532-5p",1422.33333333333
"hsa-miR-542-3p",160.666666666667
"hsa-miR-574-3p",71.6666666666667
"hsa-miR-582-3p",48
"hsa-miR-589-5p",68.6666666666667
"hsa-miR-629-5p",100.333333333333
"hsa-miR-671-5p",43.6666666666667
"hsa-miR-769-5p",262
"hsa-miR-877-5p",21.3333333333333
"hsa-miR-92b-3p",304.666666666667
"hsa-miR-93-5p",1164.33333333333
"hsa-miR-98-5p",939.333333333333
"hsa-miR-99a-5p",1220
"hsa-miR-99b-3p",326.333333333333
