"","rowMeans(dataPellet[4:6])"
"hsa-let-7b-5p",4362.33333333333
"hsa-let-7d-3p",206.333333333333
"hsa-let-7d-5p",1107
"hsa-let-7e-5p",2282
"hsa-let-7g-5p",18232
"hsa-let-7i-5p",11672.6666666667
"hsa-miR-106b-3p",298.666666666667
"hsa-miR-10a-3p",73
"hsa-miR-10b-5p",6219
"hsa-miR-125a-3p",19
"hsa-miR-125a-5p",3857
"hsa-miR-125b-2-3p",71.6666666666667
"hsa-miR-1307-3p",659.333333333333
"hsa-miR-140-3p",143
"hsa-miR-146a-5p",90.3333333333333
"hsa-miR-148a-3p",34311
"hsa-miR-148a-5p",311
"hsa-miR-148b-3p",3152.66666666667
"hsa-miR-149-5p",53
"hsa-miR-151a-3p",9201
"hsa-miR-15b-5p",316
"hsa-miR-16-2-3p",660.666666666667
"hsa-miR-17-5p",2579
"hsa-miR-181a-2-3p",57
"hsa-miR-182-5p",3766.66666666667
"hsa-miR-183-5p",2657.33333333333
"hsa-miR-185-5p",375.666666666667
"hsa-miR-186-5p",676.666666666667
"hsa-miR-191-5p",6546.33333333333
"hsa-miR-196b-5p",189.333333333333
"hsa-miR-19a-3p",570.333333333333
"hsa-miR-200a-3p",16856
"hsa-miR-200a-5p",859.333333333333
"hsa-miR-200b-3p",19517
"hsa-miR-205-5p",21473
"hsa-miR-20b-5p",37.6666666666667
"hsa-miR-22-3p",6605
"hsa-miR-221-3p",4494.33333333333
"hsa-miR-221-5p",354
"hsa-miR-222-3p",3792
"hsa-miR-25-3p",1588
"hsa-miR-26b-5p",1874
"hsa-miR-27a-3p",10826
"hsa-miR-27a-5p",139.666666666667
"hsa-miR-28-3p",253.666666666667
"hsa-miR-30a-3p",307.666666666667
"hsa-miR-30a-5p",16824.6666666667
"hsa-miR-30b-5p",401.333333333333
"hsa-miR-30e-3p",320.666666666667
"hsa-miR-30e-5p",3967.33333333333
"hsa-miR-31-5p",2020.33333333333
"hsa-miR-32-5p",255.333333333333
"hsa-miR-339-5p",197
"hsa-miR-340-5p",1305.66666666667
"hsa-miR-361-5p",137.333333333333
"hsa-miR-362-5p",69.6666666666667
"hsa-miR-363-3p",80.6666666666667
"hsa-miR-374a-3p",190.333333333333
"hsa-miR-374a-5p",91
"hsa-miR-450b-5p",277.666666666667
"hsa-miR-4664-3p",31
"hsa-miR-500a-3p",109
"hsa-miR-502-3p",70.6666666666667
"hsa-miR-503-5p",400.666666666667
"hsa-miR-532-5p",1787.33333333333
"hsa-miR-542-3p",317
"hsa-miR-574-3p",32.3333333333333
"hsa-miR-582-3p",21.3333333333333
"hsa-miR-589-5p",62.6666666666667
"hsa-miR-629-5p",46.3333333333333
"hsa-miR-671-5p",32.6666666666667
"hsa-miR-769-5p",298
"hsa-miR-877-5p",20
"hsa-miR-92b-3p",353.666666666667
"hsa-miR-93-5p",1474.66666666667
"hsa-miR-98-5p",1391.66666666667
"hsa-miR-99a-5p",1154
"hsa-miR-99b-3p",395.333333333333
